What industry do you work in?,Normalized
Quasi-governmental economic research,Government
Quick service retail,Retail
Radio Communications,Communications
Radio/ Media,Media
Railway vehicle manufacturing,Manufacturing
Real estae,Real Estate
Real Estate,Real Estate
Real Estate - admin,Real Estate
Real estate - new home construction,Construction
Real Estate - Property Management,Real Estate
Real Estate (Public Sector),Real Estate
Real Estate / Construction,Construction
Real Estate and Construction,Construction
Real Estate and Development,Real Estate
real estate consulting,Real Estate
real estate developer,Real Estate
Real Estate Development,Real Estate
Real Estate Development / Property Management,Real Estate
Real Estate Development and Hospitality,Real Estate
Real Estate Development Services,Real Estate
Real Estate Investment,Real Estate
Real Estate Management,Real Estate
Real Estate Marketing,Real Estate
Real Estate Mortgage Services,Real Estate
Real Estate Private Equity,Real Estate
Real Estate Software Development,Technology/Software
Real estate valuations,Real Estate
Real estate/ Design,Real Estate
Real Estate/Construction,Construction
Real Estate/Consulting,Real Estate
Real estate/office tenancy,Real Estate
Real Estate-Development,Real Estate
Real Estats,Real Estate
Real Estste,Real Estate
Recreational non profit,Non-Profit
Recruitment media,Media
Regulation/Healthcare,Healthcare
Regulatory affairs -chemicals,Chemicals
Regulatory College (non-profit),Non-Profit
Reinsurance,Insurance
Religious non profit,Non-Profit
religious nonprofit,Non-Profit
religious non-profit,Non-Profit
Religious/non-profit,Non-Profit
Rental items/ retail sales,Retail
Reproductive health / non profit,Non-Profit
Research - Academia,Education
Research - Academic,Education
"Research & Development, Science & Engineering",Engineering
Research (Academia),Education
Research / Finance,Finance
Research Admin,Administration
Research administration,Education
Research Administration (University),Education
Research and Education,Education
Research Compliance (University),Education
"Research, government, health, biomedicine",Government
"Research, nonprofit, education",Non-Profit
Research/university,Education
Residential Construction,Construction
Restaurant/hospitality supply,Hospitality
Restaurants and Manufacturing,Manufacturing
Retail,Retail
Retail - Big Data,Retail
Retail - College Textbooks,Retail
retail - corporate HQ,Retail
Retail - corporate level,Retail
retail - furniture,Retail
Retail -- surgical supplies,Retail
Retail (convenience food store),Retail
Retail (corporate office),Retail
Retail (Corporate side),Retail
Retail (fashion),Fashion
Retail (food co-op),Retail
retail (multi-state chain),Retail
Retail (small business),Retail
retail / Corporate HR,Retail
retail / web / IT,Retail
Retail and Food Service,Retail
Retail Automotive Tools,Retail
Retail back office support,Retail
Retail Banking,Banking
Retail beauty industry,Retail
Retail coffee,Retail
Retail Consulting,Retail
Retail corporate marketing,Retail
Retail Creative/Marketing,Retail
Retail Distribution (Oil and Gas),Retail
Retail Ecommerce,Retail
Retail Energy,Retail
Retail Food,Retail
Retail food service (grocery store),Retail
"Retail food service, corporate HQ",Retail
Retail Gocery,Retail
Retail Grocery,Retail
Retail Healthcare,Healthcare
Retail home improvement,Retail
Retail HR,Retail
retail liquor sales,Retail
Retail Logistics,Retail
Retail Mail Order,Retail
Retail Management,Retail
Retail marketing,Retail
Retail NIKE,Retail
Retail Pharmacy,Retail
Retail Point of Sale,Retail
Retail Sales,Retail
Retail Service,Retail
Retail Services,Retail
Retail tech,Retail
"Retail, Customer Service",Retail
"retail, part time",Retail
Retail/Apparel,Retail
Retail/Convenience Store,Retail
Retail/CPG,Retail
Retail/ecommerce,Retail
Retail/Fashion Apparel,Fashion
Retail/Fashion HQ,Fashion
Retail/Grocery,Retail
Retail/Hospitality,Retail
Retail/industrial products,Retail
retail/manufacturing,Manufacturing
Retail/Optics,Retail
Retail/Service,Retail
Retail/tech,Retail
Retail/Wholesale,Retail
Retailer,Retail
retailer (corporate),Retail
Retailer Ecom,Retail
Retail-matress sales,Retail
Retail-remodeling,Retail
Retirement Administration,Administration
RF Engineering,Engineering
ROAD Construction,Construction
Rope Manufacturing,Manufacturing
Saas software,Technology/Software
Sales - Fragrance & Cosmetics,Cosmetics
Sales/Account Management,Accounting
Sales--Non-Profit,Non-Profit
Satellite Communications,Communications
School Administration,Education
School District Special Education,Education
Science academic research,Education
Science and Engineering,Engineering
Science and engineering R&D,Engineering
Science and engineering research,Engineering
science non-profit,Non-Profit
Science writing/editing at a nonprofit,Non-Profit
Science/government,Government
Scientific academic research,Education
scientific nonprofit,Non-Profit
scientific research / government,Government
Scientific Research; Academic,Education
Secondary Education,Education
Security (federal govt contractor),Government
Security Equipment Manufacturing,Manufacturing
Semiconductor design,Electronics
Semiconductor Engineering,Engineering
Semiconductor Manufacturers,Manufacturing
Semiconductor Manufacturing,Manufacturing
Service (law),Legal Services
Settlement Administration,Legal Services
Sign manufacturer,Manufacturing
Sign Manufacturing,Manufacturing
Silicon engineering,Engineering
Simulation Education,Education
Skin health care,Cosmetics
small construction,Construction
"Social expressions, gifts, retail",Retail
Social Justice Non-Profit,Non-Profit
Social Media,Media
Social media marketing,Media
"Social Sector (nonprofits, philanthropy)",Non-Profit
Social Service / Non-profit,Non-Profit
Social Services (nonprofit),Non-Profit
Social Services Non-Profit,Non-Profit
"social services, public education",Education
Social Services/County Government,Government
Social Services/Nonprofit,Non-Profit
Social Work - Nonprofit,Non-Profit
Social WorK / Nonprofit,Non-Profit
Social work administration,Social Services
Social Work/Non Profit,Non-Profit
Social Work/NonProfit,Non-Profit
Social work/non-profit,Non-Profit
Software,Technology/Software
Software - commercial,Technology/Software
Software - Fintech,Technology/Software
Software - SCADA Automation,Technology/Software
Software & IT,Technology/Software
Software & Technology,Technology/Software
Software (education sector),Education
Software (Embedded),Technology/Software
Software (Network Security),Technology/Software
Software (SAAS),Technology/Software
Software (Startups),Technology/Software
Software / Cloud,Technology/Software
Software / Ed Tech,Technology/Software
Software / Tech,Technology/Software
Software / Technology,Technology/Software
Software Analytics,Technology/Software
Software and Consulting,Technology/Software
Software and Internet,Technology/Software
Software and Services,Technology/Software
Software and Technology,Technology/Software
Software as a saervice,Technology/Software
Software as a service,Technology/Software
Software as a Service SaaS,Technology/Software
Software as a Service(SaaS),Technology/Software
"Software as a Service, Sports",Technology/Software
Software company,Technology/Software
Software consultancy,Technology/Software
Software consultant,Technology/Software
Software developer,Technology/Software
Software Development,Technology/Software
Software Development (Education Technology),Education
Software Development (Java Script),Technology/Software
Software development and QA,Technology/Software
Software Development Tools,Technology/Software
"software development, news media",Media
Software Engineer,Engineering
Software Engineering,Engineering
Software in Healthcare,Healthcare
Software industry,Technology/Software
Software Products,Technology/Software
Software Publishers,Technology/Software
Software Research and Development,Technology/Software
Software Sales,Technology/Software
Software Sales (ECM),Technology/Software
Software Sales SAAS,Technology/Software
software security research development,Technology/Software
Software Services,Technology/Software
Software Startup,Technology/Software
Software support,Technology/Software
Software Tech,Technology/Software
Software tech/apps,Technology/Software
Software technology,Technology/Software
Software Testing,Technology/Software
"Software, Information Services",Technology/Software
"Software, SaaS",Technology/Software
Software/ Tech,Technology/Software
Software/dotcom,Technology/Software
Software/Games,Technology/Software
Software/Gaming,Technology/Software
Software/Healthcare,Healthcare
Software/High Tech,Technology/Software
Software/Internet,Technology/Software
Software/IT,Technology/Software
Software/Tech,Technology/Software
Software/Technology,Technology/Software
Software-as-a-Service products,Technology/Software
Solar construction,Construction
Sort-of-Government-Run Performing Arts Nonprofit,Government
"Space, Government",Government
Specialty Chemical,Chemicals
Specialty Chemical / Automotive,Chemicals
Specialty chemicals,Chemicals
Specialty Retail Marketing,Retail
specialty retail outdoor,Retail
Specialty Retailer,Retail
specialty society for healthcare,Healthcare
Speech-Language Pathologist,Logistics
Spirits/Retail,Retail
Sport non-profit,Non-Profit
sports and entertainment,Entertainment
Sports Apparel,Fashion
Sports nonprofit,Non-Profit
Sports/Entertainment,Entertainment
Sports/fashion,Fashion
Spring Manufacturing,Manufacturing
State and Local Governement,Government
State Environmental Agency,Environmental Science
State government,Government
state government - business mgmt/facilities,Government
State government - child support,Government
State Government - Department of Transportation,Government
State Government - Public Health,Government
State Government - Purchasing,Government
State Government (Higher Ed),Government
State Government Purchasing,Government
State government tax,Government
State government/Education,Government
State Government/Finance,Government
State Government/Health Care Administration,Government
State government/politics,Government
State Government--Department of Education,Government
State government-transportation,Government
State University,Education
Steel building manufacturing,Manufacturing
Steel Manufacturing,Manufacturing
STEM-focused non-profit,Non-Profit
Streaming Media,Media
Structural Engineer,Engineering
Structural engineering,Engineering
SubPrime Finance,Finance
Supply Chain & Logistics,Logistics
Supply chain and logistics,Logistics
Supply Chain Logistics / Armored transportation,Logistics
Supply Chain Software,Technology/Software
Sustainability non-profit,Non-Profit
SW engineering,Engineering
Tax Accounting,Accounting
Tax and Accounting,Accounting
Tax and financial assistance,Financial Services
Tax Law,Legal Services
Tax/finance,Finance
Taxation and accounting,Accounting
Tech - IT department of national insurance company,Insurance
Tech - Software,Technology/Software
Tech - Software Dev,Technology/Software
Tech - Software development,Technology/Software
Tech (Software),Technology/Software
Tech / E-Commerce,E-Commerce
Tech / Agriculture,Agriculture
Tech / non profit,Non-Profit
Tech / Software,Technology/Software
Tech manufacturing,Manufacturing
Tech Manufacturing/Amazon Marketplace,Manufacturing
Tech sales for nonprofits,Non-Profit
Tech/Advertising,Advertising
Tech/Cloud Computing Provider,Computing/Technology
tech/education & some military contracting,Education
Tech/Exhibit Design,"Arts, Design and Media"
Tech/Healthcare,Healthcare
Tech/Manufacturing,Manufacturing
Tech/Media,Media
Tech/Real Estate,Real Estate
Tech/retail,Retail
Tech/Software,Technology/Software
Tech-Healthcare,Healthcare
Technology - Health Insurance,Insurance
Technology - Software,Technology/Software
Technology (Advertising),Advertising
Technology (social media software),Media
Technology / e-commerce,E-Commerce
Technology / Finance,Finance
technology / software,Technology/Software
Technology Governance,Government
Technology in finance,Finance
Technology Software,Technology/Software
technology software saas,Technology/Software
Technology/Finance,Finance
Technology/media,Media
Technology/Non-Profit,Non-Profit
Technology/online retail,Retail
Technology/software,Technology/Software
Tech--software,Technology/Software
Telecom Construction,Construction
Telecom Engineering & Design,Engineering
Telecom Software Reseller,Technology/Software
Telecommunicatiobs,Communications
telecommunication,Communications
Telecommunication Sales,Communications
Telecommunications,Communications
Telecommunications Association,Communications
Telecommunications Construction,Construction
Telecommunications software,Technology/Software
Telecommunications Technology,Communications
Telecommunications/Tech,Communications
Telecommunicationswar,Communications
Telecoms software,Technology/Software
Television Advertising,Advertising
Television Media,Media
Tertiary Education,Education
Theater/Arts Nonprofit,Non-Profit
Theatre Entertainment,Entertainment
Third Party Administration of Employee Benefits,Administration
third party logistics,Logistics
Third Party Maintenance,Maintenance
Tissue Banking,Banking
Title Insurance,Insurance
Tourism & Hospitality,Hospitality
Tourism/Hospitality,Hospitality
Town Government/Library,Government
Trade Association / Nonprofit,Non-Profit
Trade Association/Insurance,Insurance
Traffic/Transportation Engineering,Engineering
Training/Government Contracting,Government
Translation (Pharmaceutical),Pharmaceuticals
Transportation & Logistics,Logistics
Transportation and Logistics,Logistics
Transportation Logistics,Logistics
transportation maintenance,Maintenance
Transportation Software,Technology/Software
Transportation/Civic Engineering,Engineering
transportation/education,Education
Transportation/Logistics,Logistics
Travel & Hospitality,Hospitality
Travel Insurance,Insurance
Travel/Hospitality,Hospitality
Tribal Government,Government
Trucking and Logistics,Logistics
Trust and company administration,Administration
Tv advertising,Advertising
U.S. Federal Government,Government
U.S. Government,Government
UK Government,Government
Universities,Education
university,Education
University - medical research,Education
University - staff role (not faculty),Education
University admin,Administration
University Administration,Education
University administration / immigration advice,Education
University Advancement,Education
University athletics,Education
university communication,Education
University communications,Education
University development,Education
University education,Education
University Education/Law Enforcement,Legal Services
University extension office,Education
University Finance,Finance
University fundraising,Education
University Healthcare Administration,Healthcare
University instructor,Education
University IT,Education
University Libraries/Museums,Education
University library,Education
University Medical Research,Education
University research,Education
University research administration,Education
University Staff Administration,Education
University teaching (economics),Education
University Tech Transfer,Education
University Technology,Education
University/education,Education
Upper Education,Education
US Federal Government,Government
US Government,Government
US Government (EPA),Government
user experience/product design,Technology/Software
User interface web design,Technology/Software
Utilities Engineering,Engineering
UX Design,Technology/Software
Vaccine Manufacturing,Manufacturing
Vehicle manufacter,Manufacturing
Venture Capital,Investments
Vetainary,Animal Welfare
Veterinary,Animal Welfare
Veterinary Diagnostics,Animal Welfare
Veterinary field,Animal Welfare
Veterinary Healthcare,Healthcare
Veterinary Imaging,Animal Welfare
Veterinary medicine,Animal Welfare
Veterinary Pharmaceuticals,Pharmaceuticals
Veterinary Profession,Animal Welfare
Veterinary Science,Animal Welfare
VFX,Audio/Visual Services
Victim Services,Social Services
Video,Video Games
Video Game,Video Games
Video Game Development,Video Games
Video Game Industry,Video Games
video game marketing,Video Games
Video games,Video Games
Video gaming/Entertainment,Entertainment
Video Production,Audio/Visual Services
Videogames,Video Games
Visual Arts,"Arts, Design and Media"
Visual Arts (Nonprofit),Non-Profit
Vitamin manufacturing,Manufacturing
Vocational education and training,Education
Vocational Rehabilitation,Non-Profit
Volunteer Organization,Non-Profit
Waitressing,Food and Beverage
Warehouse,Warehouse
Warehouse maintenance,Maintenance
Warehousing,Warehouse
Warehousing - 3rd Party Logistics,Logistics
Warehousing & Logistics,Logistics
Warehousing and Logistics,Logistics
Warehousing/Logistics,Logistics
Waste,Waste Management
waste industry,Waste Management
waste management,Waste Management
Waste removal,Waste Management
Waste services,Waste Management
waste water management,Waste Management
Waste water reclamation,Waste Management
Wastewaster,Waste Management
Wastewater,Waste Management
Wastewater services,Waste Management
Wastewater treatment,Waste Management
Wastewater Utility,Waste Management
Water,Water Management
Water and Wastewater Supplies,Water Management
Water department,Water Management
Water Filtration,Water Management
Water industry (UK),Water Management
Water Infrastructure,Water Management
Water Resources,Water Management
Water Resources Engineering,Engineering
Water sector / public utilities,Water Management
Water Treatment,Water Management
Water Utility,Water Management
Water/Energy,Water Management
Water/wastewater,Water Management
Wducation,Education
We development,Finance
Wealth Management,Finance
Web,Website Services
Web analytics,Website Services
Web consulting,Website Services
Web content management,Website Services
Web Design,"Arts, Design and Media"
Web Dev,Website Services
Web Developement,Website Services
Web development,Website Services
Web development (for education),Education
Web Domains,Website Services
Web Marketing,Website Services
Web publishing/Media,Media
Web services,Website Services
Web Technology,Website Services
Website & Digital Design,"Arts, Design and Media"
Website Design,"Arts, Design and Media"
Website Design and Marketing,"Arts, Design and Media"
Website Development Consultancy,Website Services
Wedding,Event Planning
Weddings,Event Planning
Welding,Construction
Wellness,Cosmetics
Wellness consumer products,Cosmetics
Wellness/Fitness,Cosmetics
Wholesale Manufacturing,Manufacturing
Wholesale/Manufacturing,Manufacturing
Wine,Food and Beverage
Wine & Spirits,Food and Beverage
Wine & Spirits Distribution,Food and Beverage
Wine and Spirits,Food and Beverage
Wine Distribution,Food and Beverage
Wine Industry,Food and Beverage
Wine Sales,Food and Beverage
Wine tourism (hospitality),Hospitality
Winery,Food and Beverage
Wireless telecommunications,Communications
Workers Compensation Health Care,Healthcare
World wide retail,Retail
Writing,Writing
Writing and Editing,Writing
Writing and marketing,Writing
"Writing, education adjacent",Writing
Writing/Editing,Writing
Writing/entertainment,Writing
Youth Charity,Non-Profit
Youth Development - Non-Profit,Non-Profit
youth development nonprofit,Non-Profit
Youth Work,Non-Profit
YouTuber,Marketing
Zoo,Animal Welfare
Zoo/animal care,Animal Welfare
Zoology (academic),Education
Zoos,Animal Welfare
